id,name,pronunciation,meaning,image,topic_id
1,cat,/kæt/,mèo,,1
2,kitten,/ˈkɪt.ən/,mèo con,,1
3,dog,/dɒg/,chó,,1
4,bitch,/bɪtʃ/,chó cái,,1
5,puppy,/ˈpʌp.i/,chó con,,1
6,parrot,/’pærət/,con vẹt,,1
7,gecko,/’gekou/,con tắc kè,,1
8,chinchilla,/tʃin’tʃilə/,sóc sinsin (ở nam-mỹ),,1
9,dalmatian,/dælˈmeɪʃən/,chó đốm,,1
10,guinea pig,/ˈgɪni pig/,chuột lang,,1
11,hamste,/’hæmstə/,r  chuột đồng,,1
12,rabbit,/’ræbit/,thỏ,,1
13,bird,/bəd/,: chim,,1
14,ferret,/’ferit/,chồn furô,,1
15,betta fish,/ˈbɛtə fiʃ/,(fighting fish)  cá chọi,,1
16,bird,"",các loài chim nói chung,,2
17,pheasant,/ˈfɛznt/,gà lôi,,2
18,swallow,/ˈswɒləʊ/,chim én,,2
19,canary,/kəˈneəri/,chim hoàng yến,,2
20,pigeon,/ˈpɪʤɪn/,chim bồ câu,,2
21,parrot,/ˈpærət/,vẹt,,2
22,crow,/krəʊ/,quạ,,2
23,hummingbird,/ˈhʌmɪŋbɜːd/,chim ruồi,,2
24,raven,/ˈreɪvn/,quạ,,2
25,quail,/kweɪl/,chim cút,,2
26,kingfisher,/ˈkɪŋˌfɪʃə/,chim bói cá,,2
27,swan,/swɒn/,thiên nga,,2
28,woodpecker,/ˈwʊdˌpɛkə/,chim gõ kiến,,2
29,toucan,/ˈtuːkən/,chim toucan,,2
30,sparrow,/ˈspærəʊ/,chim sẻ,,2
31,peacock,/ˈpiːkɒk/,công,,2
32,pengui,/ˈpɛŋgwɪn/,n  chim cánh cụt,,2
33,ostrich,/ˈɒstrɪʧ/,đà điểu,,2
34,seagull,/ˈsiːgʌl/,chim mòng biển,,2
35,eagle,/ˈiːgl/,đại bàng,,2
36,flamingo,/fləˈmɪŋgəʊ/,hồng hạc,,2
37,hawk,/hɔːk/,diều hâu,,2
38,stork,/stɔːk/,cò,,2
39,falcon,/ˈfɔːlkən/,chim ưng,,2
40,vulture,/ˈvʌlʧə/,kền kền,,2
41,hawk,/hɔk/,"diều hâu, chim ưng",,2
42,hen,/hen/,gà mái,,2
43,hummingbird,/’hʌmiɳ /bəd/,chim ruồi,,2
44,ostrich,/’ɔstritʃ/,đà điểu châu phi,,2
45,owl,/aul/,chim cú,,2
46,parrot,/’pærət/,chim vẹt,,2
47,peacock,/’pikɔk/,chim công,,2
48,pelican,/’pelikən/,chim bồ nông,,2
49,petrel,/’petrəl/,hải âu pê-tren (loại nhỏ),,2
50,crab,/kræb/,cua,,3
51,seal,/siːl/,hải cẩu,,3
52,octopus,/ˈɒktəpəs/,bạch tuộc,,3
53,shark,/ʃɑːk/,cá mập,,3
54,seahorse,/ˈsiːhɔːs/,cá ngựa,,3
55,walrus,/ˈwɔːlrəs/,voi biển,,3
56,starfish,/ˈstɑːfɪʃ/,sao biển,,3
57,whale,/weɪl/,cá voi,,3
58,penguin,/ˈpɛŋgwɪn/,chim cánh cụt,,3
59,squid,/skwɪd/,con mực,,3
60,lobster,/ˈlɒbstə/,tôm hùm,,3
61,shrimp,/ʃrɪmp/,tôm,,3
62,coral,/ˈkɒrəl/,san hô,,3
63,seaweed,/ˈsiːwiːd/,rong biển,,3
64,clam,/klæmz/,con nghêu,,3
65,sentinel crab,/ˈsɛntɪnl kræb/,con ghẹ,,3
66,dolphin,/ˈdɒlfɪn/,cá heo,,3
67,mussel,/ˈmʌsl/,con trai,,3
68,oyster,/ˈɔɪstə/,con hàu,,3
69,scallop,/ˈskɒləp/,sò điệp,,3
70,goldfish,/ˈgəʊldfɪʃ/,cá vàng,,3
71,salmon,/ˈsæmən/,cá hồi,,3
